benchmark,avg_dynamic_power,avg_static_power,FF,LUT,worst_negative_slack,num_cycles,num_instructions_retired,datamem_wait_cycles,fetch_wait_cycles,num_load_instructions,num_store_instructions,num_jump_instructions,num_conditional_branch_instructions,num_taken_conditional_branch_instructions,num_compressed_instructions,mult_wait_cycles,divd_wait_cycles,temperature,ht_type,ht_triggered,ht_type_with_trigger
multiply,0.01,0.254,1477,2665,9.537,34466,21535,319,6258,209,110,203,6507,5919,17792,0,0,10519,fetch,True,fetch_triggered
multiply,0.05,0.263,1477,2666,7.469,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,critical,True,critical_triggered
multiply,0.03,0.258,1478,2652,8.954,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,clk_mod,True,clk_mod_triggered
median,0.05,0.263,1476,2298,9.771,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,ht-free,False,ht-free
median,0.05,0.263,1476,2322,9.771,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,mitm,False,mitm_non-triggered
median,0.05,0.263,1476,2322,8.222,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,fetch,False,fetch_non-triggered
median,0.05,0.263,1476,2310,4.132,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,critical,False,critical_non-triggered
median,0.03,0.259,1477,2302,10.763,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,clk_mod,False,clk_mod_non-triggered
tower,0.04,0.262,1476,2298,9.771,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,ht-free,False,ht-free
tower,0.04,0.262,1476,2322,9.771,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,mitm,False,mitm_non-triggered
tower,0.04,0.262,1476,2322,8.222,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,fetch,False,fetch_non-triggered
tower,0.04,0.262,1476,2310,4.132,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,critical,False,critical_non-triggered
tower,0.03,0.258,1477,2302,10.763,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,clk_mod,False,clk_mod_non-triggered
sort,0.04,0.262,1476,2298,9.771,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,ht-free,False,ht-free
sort,0.04,0.262,1476,2322,9.771,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,mitm,False,mitm_non-triggered
sort,0.04,0.262,1476,2322,8.222,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,fetch,False,fetch_non-triggered
sort,0.04,0.262,1476,2310,4.132,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,critical,False,critical_non-triggered
sort,0.03,0.258,1477,2302,10.763,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,clk_mod,False,clk_mod_non-triggered
